model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),1.0,1.452351689338684,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",37,12,0.32432432432432434
Strategic (f*_s),1.0,1.261060118675232,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.10545482486486435, -0.3938816785812378, 0.31101107597351074, 0.037920963019132614, 0.21190103888511658, 1.0405558347702026]",155,55,0.3548387096774194
Strat-Imp-Aware (f*_imp),1.0,1.3100683689117432,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.1222940981388092, -0.6583116054534912, -0.019392484799027443, 0.29409921169281006, 0.17367121577262878, 0.8837443590164185]",22,6,0.2727272727272727
Optimal Linear classifier (f*),1.0,1.4606032371520996,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.20483708381652832, -0.4537559747695923, 0.18501435220241547, 0.010299023240804672, 0.17096741497516632, 1.057060718536377]",26,11,0.4230769230769231
Strategic (f*_s),1.0,1.272046446800232,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.1299116015434265, -0.420224666595459, 0.12795326113700867, 0.08244911581277847, 0.18614263832569122, 1.0315428972244263]",54,17,0.3148148148148148
Strat-Imp-Aware (f*_imp),1.0,1.2233636379241943,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.11113721877336502, -0.3716111183166504, 0.061173874884843826, 0.06783124059438705, 0.04864029586315155, 0.6221946477890015]",0,0,0
Optimal Linear classifier (f*),1.0,1.4606032371520996,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.20483708381652832, -0.4537559747695923, 0.18501435220241547, 0.010299023240804672, 0.17096741497516632, 1.057060718536377]",26,11,0.4230769230769231
Strategic (f*_s),1.0,1.2806206941604614,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.1221737265586853, -0.39651864767074585, 0.30168044567108154, 0.04272958263754845, 0.1847240924835205, 1.0058863162994385]",120,38,0.31666666666666665
Strat-Imp-Aware (f*_imp),1.0,1.354157567024231,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.18016719818115234, -0.35369956493377686, 0.021728726103901863, 0.10982753336429596, 0.08914690464735031, 0.7327650189399719]",5,2,0.4
Optimal Linear classifier (f*),1.0,0.7362051606178284,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.32982420921325684, 0.4857228398323059, 0.52032870054245, 0.2726328372955322, -0.30341535806655884, 0.7158740162849426]",730,104,0.14246575342465753
Strategic (f*_s),1.0,0.3588515818119049,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.14444106817245483, 0.09715521335601807, 0.3088509738445282, 0.29970529675483704, -0.045264627784490585, 1.2550790309906006]",279,21,0.07526881720430108
Strat-Imp-Aware (f*_imp),1.0,1.457607388496399,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.10222145169973373, -0.49683281779289246, 0.5428292155265808, 0.0783831775188446, -0.23490627110004425, 1.1291499137878418]",100,30,0.3
Optimal Linear classifier (f*),1.0,1.452351689338684,"[0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",163,41,0.25153374233128833
Strategic (f*_s),1.0,-1.073390245437622,"[0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896]","[-0.08867496997117996, -0.3796757459640503, 0.19033542275428772, 0.013715112581849098, 0.12660375237464905, 0.6838191747665405]",6072,618,0.10177865612648221
Strat-Imp-Aware (f*_imp),1.0,0.3403826355934143,"[0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896]","[-0.06940708309412003, 0.04345695301890373, 0.31364762783050537, 0.12418370693922043, 0.1221555694937706, 0.04465189203619957]",1202,298,0.24792013311148087
Optimal Linear classifier (f*),1.0,1.452351689338684,"[0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",163,41,0.25153374233128833
Strategic (f*_s),1.0,-1.073390245437622,"[0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896]","[-0.08867496997117996, -0.3796757459640503, 0.19033542275428772, 0.013715112581849098, 0.12660375237464905, 0.6838191747665405]",6072,618,0.10177865612648221
Strat-Imp-Aware (f*_imp),1.0,0.3403826355934143,"[0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896]","[-0.06940708309412003, 0.04345695301890373, 0.31364762783050537, 0.12418370693922043, 0.1221555694937706, 0.04465189203619957]",1202,298,0.24792013311148087
Optimal Linear classifier (f*),1.0,1.452351689338684,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",163,41,0.25153374233128833
Strategic (f*_s),1.0,-2.7514898777008057,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[-0.03063102439045906, -0.2521325647830963, 0.13320322334766388, 0.07416481524705887, 0.11302182078361511, 0.8249615430831909]",6044,568,0.09397749834546658
