model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),2.0,-0.144101083278656,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.8954967856407166, 0.0376693457365036, 0.1576424539089203, 0.2803816497325897, 0.019082436338067055, 0.05520200356841087, -0.02715650573372841, 0.2172391265630722]",1785,606,0.33949579831932775
Strategic (f*_s),2.0,-33.342830657958984,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[2.601067543029785, 0.4730605483055115, 0.8937403559684753, 0.9793959259986877, 0.6413812637329102, 0.20712004601955414, 0.5186594128608704, 0.788668692111969]",3069,1514,0.49332029977191266
Strat-Imp-Aware (f*_imp),2.0,-10.01309871673584,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[1.048238754272461, -0.08562444895505905, 0.11245568096637726, 0.27076518535614014, 0.17439551651477814, -0.05980806425213814, -0.2549293637275696, 0.1078229546546936]",3138,1573,0.5012746972594009
Optimal Linear classifier (f*),1.0,-0.144101083278656,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.8954967856407166, 0.0376693457365036, 0.1576424539089203, 0.2803816497325897, 0.019082436338067055, 0.05520200356841087, -0.02715650573372841, 0.2172391265630722]",1785,606,0.33949579831932775
Strategic (f*_s),1.0,-7.367974281311035,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.9734461307525635, 0.030934497714042664, 0.1975717842578888, 0.2875349521636963, 0.043711207807064056, 0.0733819231390953, -0.01771378144621849, 0.20123475790023804]",1993,693,0.34771700953336676
Strat-Imp-Aware (f*_imp),1.0,-2.2952558994293213,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[1.048612356185913, -0.08499746024608612, -0.09880518913269043, 0.016952071338891983, 0.005676897708326578, 0.001900041475892067, -0.16279426217079163, 0.04600905254483223]",3138,1422,0.45315487571701724
Optimal Linear classifier (f*),1.0,-0.144101083278656,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.8954967856407166, 0.0376693457365036, 0.1576424539089203, 0.2803816497325897, 0.019082436338067055, 0.05520200356841087, -0.02715650573372841, 0.2172391265630722]",1135,350,0.30837004405286345
Strategic (f*_s),1.0,-1.285121202468872,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.8668034672737122, 0.03486546874046326, 0.18517392873764038, 0.2742532193660736, 0.01974409818649292, 0.049816232174634933, -0.028727104887366295, 0.2123698890209198]",898,218,0.24276169265033407
Strat-Imp-Aware (f*_imp),1.0,-0.9322221279144287,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.9418975710868835, 0.02510695345699787, 0.16997013986110687, 0.27065426111221313, 0.14040112495422363, 0.046524208039045334, 0.06853373348712921, 0.12593019008636475]",1094,343,0.31352833638025596
Optimal Linear classifier (f*),1.0,-0.144101083278656,"[0.800000011920929, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.699999988079071]","[0.8954967856407166, 0.0376693457365036, 0.1576424539089203, 0.2803816497325897, 0.019082436338067055, 0.05520200356841087, -0.02715650573372841, 0.2172391265630722]",1135,350,0.30837004405286345
