model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),1.0,-0.03128359094262123,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.9890735745429993, 0.08375785499811172, 0.2002088576555252, 0.34113800525665283, 0.23487478494644165, 0.057149678468704224, -0.07795574516057968, 0.24852731823921204]",1035,321,0.3101449275362319
Strategic (f*_s),1.0,-1.3989650011062622,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.9246424436569214, 0.03901368007063866, 0.23039640486240387, 0.2621491253376007, -0.09141213446855545, -0.030889183282852173, 0.040031928569078445, 0.27625396847724915]",877,218,0.24857468643101482
Strat-Imp-Aware (f*_imp),1.0,-1.015091061592102,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.927798330783844, -0.07942099869251251, 0.3773402273654938, 0.3249882161617279, 0.15590864419937134, -0.1564609706401825, -0.15949426591396332, 0.041553791612386703]",1157,351,0.30337078651685395
Optimal Linear classifier (f*),1.0,-0.08047682791948318,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.9443308711051941, -0.09327276051044464, 0.1231946349143982, 0.42972737550735474, -0.09485500305891037, 0.1609407365322113, 0.15213200449943542, 0.0675668865442276]",1098,336,0.30601092896174864
Strategic (f*_s),1.0,-1.2353562116622925,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.7905274629592896, 0.01337458100169897, 0.3346320688724518, 0.3443014919757843, 0.01896364986896515, 0.11965790390968323, 0.028877997770905495, 0.27097004652023315]",780,182,0.23333333333333334
Strat-Imp-Aware (f*_imp),1.0,-0.925229549407959,"[0.800000011920929, 2.5, 2.0, 1.7999999523162842, 1.0, 2.200000047683716, 2.799999952316284, 0.699999988079071]","[0.8877628445625305, -0.0016802751924842596, 0.43736591935157776, 0.2462623119354248, 0.41646647453308105, -0.018917638808488846, -0.007986307144165039, 0.0850396379828453]",989,318,0.32153690596562184
