Strat-Imp-Aware (f*_imp),1.0,1.19,"[5, 2, 2, 1, 100]","[0.79, 2.1, 0.23, 0.5, 0.56]",2203,93,0.042421516114389469
Optimal Linear (f*),1.0,0.24,"[5, 2, 2, 1, 100]","[0.73, 2.07, 0.28, 0.51, 0.46]",4723,752,0.15922083421554098
Strategic (f*_s),1.0,1.35,"[5, 2, 2, 1, 100]","[0.73, 2.08, 0.21, 0.51, 0.47]",1577,40,0.025364616360177554
Strat-Imp-Aware (f*_imp),1.0,1.19,"[5, 2, 2, 1, 100]","[0.79, 2.1, 0.23, 0.5, 0.56]",2203,93,0.04221516114389469
Optimal Linear (f*),1.0,0.24,"[5, 2, 2, 1, 100]","[0.73, 2.07, 0.28, 0.51, 0.46]",4723,747.6421526459058,0.15829814792418076
Strategic (f*_s),1.0,1.35,"[5, 2, 2, 1, 100]","[0.73, 2.08, 0.21, 0.51, 0.47]",1577,38.09323097403383,0.024155504739400018
Strat-Imp-Aware (f*_imp),1.0,1.19,"[5, 2, 2, 1, 100]","[0.79, 2.1, 0.23, 0.5, 0.56]",2203,97.82292597214806,0.044404414876145284
Optimal Linear (f*),1.0,0.24,"[5, 2, 2, 1, 100]","[0.73, 2.07, 0.28, 0.51, 0.46]",4723,752,0.15922083421554098
Strategic (f*_s),1.0,1.35,"[5, 2, 2, 1, 100]","[0.73, 2.08, 0.21, 0.51, 0.47]",1577,40,0.025364616360177554
Strat-Imp-Aware (f*_imp),1.0,1.19,"[5, 2, 2, 1, 100]","[0.79, 2.1, 0.23, 0.5, 0.56]",2203,93,0.04221516114389469
Optimal Linear (f*),1.0,0.24,"[5, 2, 2, 1, 100]","[0.73, 2.07, 0.28, 0.51, 0.46]",4723,752,0.15922083421554098
Strategic (f*_s),1.0,1.35,"[5, 2, 2, 1, 100]","[0.73, 2.08, 0.21, 0.51, 0.47]",1577,40,0.025364616360177554
Strat-Imp-Aware (f*_imp),1.0,1.19,"[5, 2, 2, 1, 100]","[0.79, 2.1, 0.23, 0.5, 0.56]",2203,93,0.04221516114389469
Optimal Linear (f*),1.0,0.24,"[5, 2, 2, 1, 100]","[0.73, 2.07, 0.28, 0.51, 0.46]",4723,752,0.15922083421554098
Strategic (f*_s),1.0,1.35,"[5, 2, 2, 1, 100]","[0.73, 2.08, 0.21, 0.51, 0.47]",1577,40,0.025364616360177554
Strat-Imp-Aware (f*_imp),1.0,1.19,"[5, 2, 2, 1, 100]","[0.79, 2.1, 0.23, 0.5, 0.56]",2203,93,0.04221516114389469
Optimal Linear (f*),1.0,0.24,"[5, 2, 2, 1, 100]","[0.73, 2.07, 0.28, 0.51, 0.46]",4723,752,0.15922083421554098
Strategic (f*_s),1.0,1.35,"[5, 2, 2, 1, 100]","[0.73, 2.08, 0.21, 0.51, 0.47]",1577,40,0.025364616360177554
Strat-Imp-Aware (f*_imp),1.0,1.19,"[5, 2, 2, 1, 100]","[0.79, 2.1, 0.23, 0.5, 0.56]",2203,93,0.04221516114389469
Optimal Linear (f*),1.0,0.24,"[5, 2, 2, 1, 100]","[0.73, 2.07, 0.28, 0.51, 0.46]",4723,752,0.15922083421554098
Strategic (f*_s),1.0,1.35,"[5, 2, 2, 1, 100]","[0.73, 2.08, 0.21, 0.51, 0.47]",1577,40,0.025364616360177554
Strat-Imp-Aware (f*_imp),1.0,1.19,"[5, 2, 2, 1, 100]","[0.79, 2.1, 0.23, 0.5, 0.56]",2203,93,0.04221516114389469
Optimal Linear classifier (f*),1.0,-1.0095473527908325,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.46389535069465637, 1.9729833602905273, 0.24461916089057922, 0.3553836941719055, 0.37100985646247864]",3396,1106,0.32567726737338043
Strategic (f*_s),1.0,-1.8788034915924072,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.3212549388408661, 1.7367565631866455, 0.238325834274292, -0.007434234023094177, 0.2747645974159241]",533,112,0.2101313320825516
Strat-Imp-Aware (f*_imp),1.0,-1.7052390575408936,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.3189461827278137, 1.8106011152267456, 0.34041672945022583, 0.33567947149276733, 0.2892055809497833]",866,300,0.3464203233256351
Optimal Linear classifier (f*),1.0,-1.0095473527908325,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.46389535069465637, 1.9729833602905273, 0.24461916089057922, 0.3553836941719055, 0.37100985646247864]",3396,1124,0.3309776207302709
Strategic (f*_s),1.0,-1.8788034915924072,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.3212549388408661, 1.7367565631866455, 0.238325834274292, -0.007434234023094177, 0.2747645974159241]",533,113,0.21200750469043153
Strat-Imp-Aware (f*_imp),1.0,-1.7542778253555298,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.4083186686038971, 1.8563661575317383, 0.3010913133621216, 0.21194511651992798, 0.268729567527771]",767,258,0.3363754889178618
Optimal Linear classifier (f*),1.0,-1.0095473527908325,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.46389535069465637, 1.9729833602905273, 0.24461916089057922, 0.3553836941719055, 0.37100985646247864]",3396,1106,0.32567726737338043
Strategic (f*_s),1.0,-1.8788034915924072,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.3212549388408661, 1.7367565631866455, 0.238325834274292, -0.007434234023094177, 0.2747645974159241]",533,112,0.2101313320825516
Strat-Imp-Aware (f*_imp),1.0,-1.7052390575408936,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.3189461827278137, 1.8106011152267456, 0.34041672945022583, 0.33567947149276733, 0.2892055809497833]",866,300,0.3464203233256351
Optimal Linear classifier (f*),1.0,-1.0095473527908325,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.46389535069465637, 1.9729833602905273, 0.24461916089057922, 0.3553836941719055, 0.37100985646247864]",3396,1106,0.32567726737338043
Strategic (f*_s),1.0,-1.8788034915924072,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.3212549388408661, 1.7367565631866455, 0.238325834274292, -0.007434234023094177, 0.2747645974159241]",533,112,0.2101313320825516
Strat-Imp-Aware (f*_imp),1.0,-1.7052390575408936,"[5.0, 2.0, 2.0, 1.0, 100.0]","[0.3189461827278137, 1.8106011152267456, 0.34041672945022583, 0.33567947149276733, 0.2892055809497833]",866,300,0.3464203233256351
