Scale,err_f,err_fs,err_fimp
0.01,0.036936601915658396,0.8918627940300201,5.213105431969067e-07
0.05,0.037211742662456894,0.17987697740671396,0.1062795380969912
0.1,0.034534723620902555,0.28105743872499067,0.10712700307493628
0.5,0.08076828473484338,0.2100878930960549,0.10632810802018645
1.0,0.1485744502374085,0.23847228705043252,0.1045560785656856
2.0,0.18369516812820427,0.23372735085523963,0.09764253310811423
5.0,0.2266936301972192,0.25979292903643336,0.09916793289358097
10.0,0.23738664349758956,0.24065409798092732,0.09941577152571043
50.0,0.23414334713035734,0.24149098365053578,0.09912371448481717
100.0,0.23533930261293562,0.25635646960082636,0.09906300351502348
