Beta,err_f,err_fs,err_fimp
0.01,0.23536940565838238,0.234382406879317,0.2354646245628697
0.1,0.23413225103043456,0.2334773246277176,0.2343358027048483
0.2,0.2348804299160114,0.23257983666180018,0.23352368689524758
0.5,0.24709576828855115,0.22548638071224666,0.22135140691231736
1.0,0.28407088459499724,0.2024941036143825,0.19831507155060998
2.0,0.3555330748251989,0.18928625192001433,0.15504558635984675
